,gasprice,height,heightl1,difficulty,diffl1,gaslimit,limitl1,gasused,gasusedl1,timestamp,timestampl1,gaspricel1,gaspricel2,avegasprice,maxgasprice,avel1,avel2,timespan1,timespan2,confirmtime
38,4,4832726,4832725,1.90718E+15,1.90625E+15,7984415,7992185,2659983,2857241,1514779694,1514779693,4,0.5,26.860241,80,25.047619,19.013185,1,4,48.67731423
39,3,4832727,4832726,1.90625E+15,1.90718E+15,7992185,7984415,7934727,2659983,1514779714,1514779694,4,4,22.339655,60,26.860241,25.047619,20,21,54.57843577
40,3,4832728,4832727,1.90625E+15,1.90625E+15,7999955,7992185,7813102,7934727,1514779729,1514779714,3,4,26.57347,200,22.339655,26.860241,15,35,48.07266262
41,20,4832729,4832728,1.90625E+15,1.90625E+15,7992148,7999955,2735605,7813102,1514779740,1514779729,3,3,28.321932,54,26.57347,22.339655,11,26,48.95566131
42,4,4832730,4832729,1.90625E+15,1.90625E+15,7999918,7992148,6530499,2735605,1514779751,1514779740,20,3,18.325143,70,28.321932,26.57347,11,22,43.38692189
43,1,4832731,4832730,1.90439E+15,1.90625E+15,8000029,7999918,7931151,6530499,1514779781,1514779751,4,20,12.343678,147,18.325143,28.321932,30,41,48.33119708
44,4,4832732,4832731,1.90253E+15,1.90439E+15,8000029,8000029,7987898,7931151,1514779815,1514779781,1,4,24.305364,70,12.343678,18.325143,34,64,52.38836006
45,4,4832733,4832732,1.9016E+15,1.90253E+15,7992222,8000029,7978189,7987898,1514779843,1514779815,4,1,23.931937,70,24.305364,12.343678,28,62,53.96518176
46,1,4832734,4832733,1.9016E+15,1.9016E+15,7984452,7992222,7979865,7978189,1514779862,1514779843,4,4,21.800219,200,23.931937,24.305364,19,47,51.99490334
47,20,4832735,4832734,1.89974E+15,1.9016E+15,7992248,7984452,7979294,7979865,1514779897,1514779862,1,4,39.217592,91,21.800219,23.931937,35,54,59.08694053
48,0.5,4832736,4832735,1.90067E+15,1.89974E+15,7984452,7992248,5128516,7979294,1514779903,1514779897,20,1,13.463294,100,39.217592,21.800219,6,41,49.20835373
49,4,4832737,4832736,1.9016E+15,1.90067E+15,7992222,7984452,5184315,5128516,1514779909,1514779903,0.5,20,14.003235,80,13.463294,39.217592,6,12,57.57873828
50,20,4832738,4832737,1.89788E+15,1.9016E+15,8000000,7992222,7988389,5184315,1514779956,1514779909,4,0.5,27.599061,91,14.003235,13.463294,47,53,49.8086089
51,4,4832739,4832738,1.89788E+15,1.89788E+15,8000029,8000000,7991188,7988389,1514779969,1514779956,20,4,17.985063,50,27.599061,14.003235,13,60,42.07675279
52,4,4832740,4832739,1.89788E+15,1.89788E+15,8000029,8000029,7999914,7991188,1514779982,1514779969,4,20,19.681421,51,17.985063,27.599061,13,26,44.50648241
53,4,4832741,4832740,1.89696E+15,1.89788E+15,8000029,8000029,7989714,7999914,1514780011,1514779982,4,4,24.160782,100,19.681421,17.985063,29,42,56.05250317
54,4,4832742,4832741,1.89696E+15,1.89696E+15,8000029,8000029,7999621,7989714,1514780022,1514780011,4,4,22.432242,60,24.160782,19.681421,11,40,55.53918406
55,4,4832743,4832742,1.89788E+15,1.89696E+15,8000029,8000029,7550824,7999621,1514780027,1514780022,4,4,17.658243,55,22.432242,24.160782,5,16,51.6746945
56,4,4832744,4832743,1.89881E+15,1.89788E+15,7992222,8000029,7966611,7550824,1514780030,1514780027,4,4,11.795707,70,17.658243,22.432242,3,8,41.23253524
57,1,4832745,4832744,1.90067E+15,1.89881E+15,7996088,7992222,7987453,7966611,1514780037,1514780030,4,4,10.864141,60,11.795707,17.658243,7,10,53.54583422
58,3,4832746,4832745,1.90159E+15,1.90067E+15,8000029,7996088,7990947,7987453,1514780040,1514780037,1,4,10.67451,60,10.864141,11.795707,3,10,53.07679721
59,4,4832747,4832746,1.90159E+15,1.90159E+15,7992222,8000029,7975755,7990947,1514780049,1514780040,3,1,17.932455,210,10.67451,10.864141,9,12,54.2517816
60,7,4832748,4832747,1.90252E+15,1.90159E+15,7999992,7992222,2512899,7975755,1514780056,1514780049,4,3,20.231868,55,17.932455,10.67451,7,16,48.74677377
61,4,4832749,4832748,1.90066E+15,1.90252E+15,8000029,7999992,7986722,2512899,1514780087,1514780056,7,4,22.813491,100,20.231868,17.932455,31,38,49.14691959
62,4,4832750,4832749,1.89974E+15,1.90066E+15,8000029,8000029,7902780,7986722,1514780105,1514780087,4,7,21.013289,250,22.813491,20.231868,18,49,57.100998
63,1,4832751,4832750,1.90066E+15,1.89974E+15,8000029,8000029,7985459,7902780,1514780108,1514780105,4,4,9.510417,70,21.013289,22.813491,3,21,53.38413696
64,0.1,4832752,4832751,1.90159E+15,1.90066E+15,7992222,8000029,7981184,7985459,1514780121,1514780108,1,4,15.097368,147,9.510417,21.013289,13,16,45.42833719
65,0.1,4832753,4832752,1.90345E+15,1.90159E+15,7984452,7992222,7954825,7981184,1514780125,1514780121,0.1,1,10.351111,55,15.097368,9.510417,4,17,56.6864416
66,4,4832754,4832753,1.90066E+15,1.90345E+15,7992222,7984452,7981293,7954825,1514780165,1514780125,0.1,0.1,22.961735,147,10.351111,15.097368,40,44,56.16260684
67,4,4832755,4832754,1.89973E+15,1.90066E+15,7984452,7992222,2673687,7981293,1514780189,1514780165,4,0.1,29.051111,68,22.961735,10.351111,24,64,48.53651672
68,1,4832756,4832755,1.8988E+15,1.89973E+15,7992222,7984452,7970524,2673687,1514780215,1514780189,4,4,16.673071,100,29.051111,22.961735,26,50,50.8004475
69,4.06,4832757,4832756,1.89695E+15,1.8988E+15,7999992,7992222,7996085,7970524,1514780250,1514780215,1,4,25.698176,100,16.673071,29.051111,35,61,51.9271994
70,4,4832758,4832757,1.89788E+15,1.89695E+15,8000029,7999992,7980598,7996085,1514780255,1514780250,4.06,1,19.218133,91,25.698176,16.673071,5,40,46.90147462
71,1,4832759,4832758,1.89973E+15,1.89788E+15,8000029,8000029,7985243,7980598,1514780263,1514780255,4,4.06,18.35413,100,19.218133,25.698176,8,13,50.86628429
72,21,4832760,4832759,1.89787E+15,1.89973E+15,8003915,8000029,7996729,7985243,1514780294,1514780263,1,4,43.220435,200,18.35413,19.218133,31,39,46.56394211
73,4,4832761,4832760,1.8988E+15,1.89787E+15,7996107,8003915,7982529,7996729,1514780297,1514780294,21,1,20.185021,58,43.220435,18.35413,3,34,47.66395709
74,1,4832762,4832761,1.8988E+15,1.8988E+15,7988337,7996107,7974925,7982529,1514780315,1514780297,4,21,20.955191,68.16,20.185021,43.220435,18,21,52.87646658
75,20,4832763,4832762,1.89973E+15,1.8988E+15,7996137,7988337,4208876,7974925,1514780320,1514780315,1,4,21.481481,51,20.955191,20.185021,5,23,41.99564359
76,4,4832764,4832763,1.90066E+15,1.89973E+15,7988337,7996137,7972450,4208876,1514780323,1514780320,20,1,11.163265,51,21.481481,20.955191,3,8,50.70996017
77,0.5,4832765,4832764,1.90066E+15,1.90066E+15,7996137,7988337,7961219,7972450,1514780337,1514780323,4,20,20.076484,80,11.163265,21.481481,14,17,45.76459151
78,4,4832766,4832765,1.90066E+15,1.90066E+15,7988337,7996137,4225624,7961219,1514780349,1514780337,0.5,4,24.2155,70,20.076484,11.163265,12,26,53.73564524
79,4,4832767,4832766,1.89973E+15,1.90066E+15,7996107,7988337,6374518,4225624,1514780369,1514780349,4,0.5,25.19845,110.22,24.2155,20.076484,20,32,55.90961452
80,4,4832768,4832767,1.89695E+15,1.89973E+15,7988337,7996107,7986134,6374518,1514780407,1514780369,4,4,25.287268,80,25.19845,24.2155,38,58,47.18939727
81,4,4832769,4832768,1.89787E+15,1.89695E+15,7996107,7988337,7975819,7986134,1514780423,1514780407,4,4,29.386416,120,25.287268,25.19845,16,54,48.60660955
82,1,4832770,4832769,1.89787E+15,1.89787E+15,7988337,7996107,7969344,7975819,1514780444,1514780423,4,4,24.075118,120,29.386416,25.287268,21,37,45.50111007
83,4,4832771,4832770,1.89602E+15,1.89787E+15,7996107,7988337,7960254,7969344,1514780475,1514780444,1,4,23.549611,70,24.075118,29.386416,31,52,45.02563497
84,4,4832772,4832771,1.89694E+15,1.89602E+15,8000029,7996107,4239829,7960254,1514780481,1514780475,4,1,34.920235,55,23.549611,24.075118,6,37,56.26026636
85,4,4832773,4832772,1.8988E+15,1.89694E+15,8000029,8000029,252189,4239829,1514780482,1514780481,4,4,36,60,34.920235,23.549611,1,7,41.93852496
86,1,4832774,4832773,1.89972E+15,1.8988E+15,8000000,8000029,7990930,252189,1514780484,1514780482,4,4,11.057059,55,36,34.920235,2,3,58.03868812
87,4,4832775,4832774,1.90065E+15,1.89972E+15,7992222,8000000,4497452,7990930,1514780491,1514780484,1,4,14.559915,60,11.057059,36,7,9,58.24274743
88,4,4832776,4832775,1.90158E+15,1.90065E+15,7999992,7992222,1329419,4497452,1514780496,1514780491,4,1,35.615789,63,14.559915,11.057059,5,12,52.09898297
89,0.1,4832777,4832776,1.90251E+15,1.90158E+15,7994128,7999992,7981513,1329419,1514780502,1514780496,4,4,18.94493,91,35.615789,14.559915,6,11,41.99843999
90,1,4832778,4832777,1.90251E+15,1.90251E+15,8000029,7994128,7256162,7981513,1514780518,1514780502,0.1,4,15.158723,63,18.94493,35.615789,16,22,51.02402237
91,1,4832779,4832778,1.90251E+15,1.90251E+15,8000029,8000029,7290233,7256162,1514780544,1514780518,1,0.1,23.419337,120,15.158723,18.94493,26,42,40.90698706
92,4,4832780,4832779,1.90344E+15,1.90251E+15,8000029,8000029,2319060,7290233,1514780553,1514780544,1,1,19.836279,51,23.419337,15.158723,9,35,41.56922882
93,1,4832781,4832780,1.90437E+15,1.90344E+15,7992222,8000029,7988690,2319060,1514780559,1514780553,4,1,15.355652,55,19.836279,23.419337,6,15,40.43572276
94,0.1,4832782,4832781,1.9053E+15,1.90437E+15,7984452,7992222,7972810,7988690,1514780563,1514780559,1,4,15.98951,100,15.355652,19.836279,4,10,49.43977557
95,1,4832783,4832782,1.9053E+15,1.9053E+15,7988334,7984452,7967092,7972810,1514780575,1514780563,0.1,1,25.072211,91,15.98951,15.355652,12,16,55.76718327
96,6,4832784,4832783,1.90437E+15,1.9053E+15,7996134,7988334,7978967,7967092,1514780597,1514780575,1,0.1,24.021966,70,25.072211,15.98951,22,34,52.23283389
97,4,4832785,4832784,1.9053E+15,1.90437E+15,8000029,7996134,6244276,7978967,1514780607,1514780597,6,1,20.423576,100,24.021966,25.072211,10,32,50.44643538
98,1,4832786,4832785,1.90344E+15,1.9053E+15,7992222,8000029,7982758,6244276,1514780647,1514780607,4,6,22.225411,80,20.423576,24.021966,40,50,52.28815973
99,4,4832787,4832786,1.90344E+15,1.90344E+15,7999992,7992222,7056964,7982758,1514780657,1514780647,1,4,29.082344,60,22.225411,20.423576,10,50,55.0430067
100,1,4832788,4832787,1.90344E+15,1.90344E+15,8002518,7999992,7989376,7056964,1514780672,1514780657,4,1,23.206034,130,29.082344,22.225411,15,25,53.20023548
101,1,4832789,4832788,1.90344E+15,1.90344E+15,8006408,8002518,7989186,7989376,1514780685,1514780672,1,4,21.390833,55,23.206034,29.082344,13,28,48.32660551
102,4,4832790,4832789,1.90436E+15,1.90344E+15,8000029,8006408,7555851,7989186,1514780699,1514780685,1,1,35.715227,88.47,21.390833,23.206034,14,27,42.52656555
103,21,4832791,4832790,1.90436E+15,1.90436E+15,8003286,8000029,7999237,7555851,1514780716,1514780699,4,1,36.544272,70,35.715227,21.390833,17,31,50.64037
104,1,4832792,4832791,1.90529E+15,1.90436E+15,8007189,8003286,8003957,7999237,1514780722,1514780716,21,4,16.447574,70,36.544272,35.715227,6,23,40.72460518
105,4,4832793,4832792,1.90529E+15,1.90529E+15,8000029,8007189,2444630,8003957,1514780734,1514780722,1,21,26.666667,130,16.447574,36.544272,12,18,44.40715866
106,4,4832794,4832793,1.90529E+15,1.90529E+15,7992222,8000029,5579761,2444630,1514780749,1514780734,4,1,28.045045,60,26.666667,16.447574,15,27,45.82677356
107,1,4832795,4832794,1.90529E+15,1.90529E+15,8000000,7992222,7986405,5579761,1514780773,1514780749,4,4,25.964186,55,28.045045,26.666667,24,39,44.92515734
108,3,4832796,4832795,1.90343E+15,1.90529E+15,8000029,8000000,7913184,7986405,1514780802,1514780773,1,4,25.04432,100,25.964186,28.045045,29,53,56.94774646
109,1,4832797,4832796,1.90343E+15,1.90343E+15,8000029,8000029,7998547,7913184,1514780813,1514780802,3,1,19.267231,60,25.04432,25.964186,11,40,54.30917399
110,5,4832798,4832797,1.89972E+15,1.90343E+15,8000029,8000029,7992681,7998547,1514780864,1514780813,1,3,25.832131,130,19.267231,25.04432,51,62,53.86625075
111,21,4832799,4832798,1.89786E+15,1.89972E+15,8003926,8000029,7992419,7992681,1514780894,1514780864,5,1,29.649709,80,25.832131,19.267231,30,81,42.55058513
112,4,4832800,4832799,1.89879E+15,1.89786E+15,8007818,8003926,7987094,7992419,1514780901,1514780894,21,5,22.075758,91,29.649709,25.832131,7,37,47.35924472
113,3,4832801,4832800,1.89879E+15,1.89879E+15,8000029,8007818,7979065,7987094,1514780913,1514780901,4,21,17.421534,80,22.075758,29.649709,12,19,55.04084285
114,4,4832802,4832801,1.89786E+15,1.89879E+15,8000029,8000029,7962859,7979065,1514780937,1514780913,3,4,27.956437,327,17.421534,22.075758,24,36,44.41259519
115,12,4832803,4832802,1.89879E+15,1.89786E+15,7992222,8000029,2710660,7962859,1514780950,1514780937,4,3,30.248684,91,27.956437,17.421534,13,37,48.20394301
116,20,4832804,4832803,1.89971E+15,1.89879E+15,8000000,7992222,1255618,2710660,1514780960,1514780950,12,4,30.609091,91,30.248684,27.956437,10,23,53.03256309
117,4,4832805,4832804,1.90064E+15,1.89971E+15,7992222,8000000,3092821,1255618,1514780961,1514780960,20,12,6.037037,21,30.609091,30.248684,1,11,52.30548931
118,2,4832806,4832805,1.90064E+15,1.90064E+15,8000000,7992222,7981180,3092821,1514780976,1514780961,4,20,18.888273,80,6.037037,30.609091,15,16,48.37815431
119,4,4832807,4832806,1.89879E+15,1.90064E+15,7992222,8000000,7950697,7981180,1514781008,1514780976,2,4,27.134615,130,18.888273,6.037037,32,47,49.53599678
120,1,4832808,4832807,1.90064E+15,1.89879E+15,7999992,7992222,5362675,7950697,1514781010,1514781008,4,2,7.314685,55,27.134615,18.888273,2,34,55.61842496
121,4,4832809,4832808,1.9025E+15,1.90064E+15,8000029,7999992,503421,5362675,1514781012,1514781010,1,4,35.25,80,7.314685,27.134615,2,4,41.37074383
122,1,4832810,4832809,1.9025E+15,1.9025E+15,8000000,8000029,7990446,503421,1514781022,1514781012,4,1,20.883152,80,35.25,7.314685,10,12,59.65514737
123,4,4832811,4832810,1.90343E+15,1.9025E+15,8000029,8000000,2679945,7990446,1514781025,1514781022,1,4,16.88963,80,20.883152,35.25,3,13,55.13351219
124,21,4832812,4832811,1.90435E+15,1.90343E+15,8000029,8000029,142222,2679945,1514781027,1514781025,4,1,27.5,41,16.88963,20.883152,2,5,49.94542181
125,4,4832813,4832812,1.90435E+15,1.90435E+15,8000029,8000029,6278027,142222,1514781042,1514781027,21,4,24.200367,80,27.5,16.88963,15,17,49.80683019
126,4,4832814,4832813,1.90528E+15,1.90435E+15,8000029,8000029,2040652,6278027,1514781050,1514781042,4,21,24.735918,80,24.200367,27.5,8,23,42.20795988
127,1,4832815,4832814,1.90528E+15,1.90528E+15,7995207,8000029,7986243,2040652,1514781060,1514781050,4,4,20.10625,80,24.735918,24.200367,10,18,59.67133828
128,4,4832816,4832815,1.90621E+15,1.90528E+15,8000029,7995207,3597228,7986243,1514781064,1514781060,1,4,22.934643,80,20.10625,24.735918,4,14,49.72174674
129,4,4832817,4832816,1.90808E+15,1.90621E+15,8000029,8000029,512293,3597228,1514781066,1514781064,4,1,30.073684,70,22.934643,20.10625,2,6,58.8237754
130,0.5,4832818,4832817,1.90621E+15,1.90808E+15,8000000,8000029,7997939,512293,1514781093,1514781066,4,4,26.35963,91,30.073684,22.934643,27,29,58.92971318
131,4,4832819,4832818,1.90528E+15,1.90621E+15,8000029,8000000,7961789,7997939,1514781114,1514781093,0.5,4,31.416025,91,26.35963,30.073684,21,48,42.87322765
132,0.5,4832820,4832819,1.90621E+15,1.90528E+15,7992222,8000029,7973850,7961789,1514781120,1514781114,4,0.5,20.499362,91,31.416025,26.35963,6,27,51.62132438
133,4,4832821,4832820,1.90714E+15,1.90621E+15,7999992,7992222,1565113,7973850,1514781122,1514781120,0.5,4,34.700889,55,20.499362,31.416025,2,8,47.41878735
134,4,4832822,4832821,1.90807E+15,1.90714E+15,8000029,7999992,2337553,1565113,1514781128,1514781122,4,0.5,37.284909,130,34.700889,20.499362,6,8,41.09503733
135,1,4832823,4832822,1.90901E+15,1.90807E+15,8000029,8000029,3395897,2337553,1514781136,1514781128,4,4,18.040746,80,37.284909,34.700889,8,14,52.15383197
136,4,4832824,4832823,1.90807E+15,1.90901E+15,7992222,8000029,7985847,3395897,1514781161,1514781136,1,4,26.186875,91,18.040746,37.284909,25,33,45.22806208
137,1,4832825,4832824,1.90901E+15,1.90807E+15,8000000,7992222,7997713,7985847,1514781164,1514781161,4,1,19.012245,60,26.186875,18.040746,3,28,50.88687849
138,4,4832826,4832825,1.90807E+15,1.90901E+15,8000029,8000000,7985912,7997713,1514781189,1514781164,1,4,24.080813,91,19.012245,26.186875,25,28,54.8936432
139,4,4832827,4832826,1.90901E+15,1.90807E+15,8000029,8000029,6530964,7985912,1514781195,1514781189,4,1,22.161321,80,24.080813,19.012245,6,31,44.69245968
140,0.5,4832828,4832827,1.90901E+15,1.90901E+15,8000029,8000029,7989210,6530964,1514781212,1514781195,4,4,21.433293,80,22.161321,24.080813,17,23,46.49108932
141,1,4832829,4832828,1.89968E+15,1.90901E+15,8000029,8000029,7981022,7989210,1514781315,1514781212,0.5,4,22.838304,93.94,21.433293,22.161321,103,120,53.25702107
142,20,4832830,4832829,1.90061E+15,1.89968E+15,7992222,8000029,7991972,7981022,1514781324,1514781315,1,0.5,22.604779,80,22.838304,21.433293,9,112,47.97350145
143,4,4832831,4832830,1.90154E+15,1.90061E+15,7984452,7992222,7976053,7991972,1514781329,1514781324,20,1,14.872754,60,22.604779,22.838304,5,14,51.91115733
144,1,4832832,4832831,1.9034E+15,1.90154E+15,7992222,7984452,7899579,7976053,1514781337,1514781329,4,20,17.711444,55,14.872754,22.604779,8,13,51.7432306
145,4,4832833,4832832,1.90433E+15,1.9034E+15,7999992,7992222,5739096,7899579,1514781343,1514781337,1,4,49.332362,1000,17.711444,14.872754,6,14,57.88872806
146,1,4832834,4832833,1.90526E+15,1.90433E+15,8000029,7999992,3619077,5739096,1514781354,1514781343,4,1,66.092326,1000,49.332362,17.711444,11,17,52.00285329
147,1,4832835,4832834,1.90619E+15,1.90526E+15,8000000,8000029,7985074,3619077,1514781360,1514781354,1,4,11.503824,50,66.092326,49.332362,6,17,50.53030355
148,1,4832836,4832835,1.90619E+15,1.90619E+15,8000029,8000000,7724011,7985074,1514781383,1514781360,1,1,22.315,1000,11.503824,66.092326,23,29,46.62284934
149,1,4832837,4832836,1.90712E+15,1.90619E+15,8003532,8000029,7985109,7724011,1514781387,1514781383,1,1,14.711778,55,22.315,11.503824,4,27,58.42980458
150,4,4832838,4832837,1.90619E+15,1.90712E+15,8000029,8003532,5983056,7985109,1514781409,1514781387,1,1,25.475043,60,14.711778,22.315,22,26,57.48702699
151,4,4832839,4832838,1.90432E+15,1.90619E+15,8000029,8000029,7562157,5983056,1514781441,1514781409,4,1,23.679235,65,25.475043,14.711778,32,54,54.1841776
152,1,4832840,4832839,1.90525E+15,1.90432E+15,8000029,8000029,5163571,7562157,1514781451,1514781441,4,4,13.091239,91,23.679235,25.475043,10,42,55.58341431
153,1,4832841,4832840,1.90432E+15,1.90525E+15,8000029,8000029,6191576,5163571,1514781471,1514781451,1,4,24.573711,91,13.091239,23.679235,20,30,40.61366125
154,1,4832842,4832841,1.90339E+15,1.90432E+15,8000029,8000029,7995734,6191576,1514781497,1514781471,1,1,21.604901,91,24.573711,13.091239,26,46,55.44274034
155,4,4832843,4832842,1.90432E+15,1.90339E+15,8000029,8000029,7909212,7995734,1514781505,1514781497,1,1,23.366626,91,21.604901,24.573711,8,34,58.25175472
156,4,4832844,4832843,1.90525E+15,1.90432E+15,8000029,8000029,5199646,7909212,1514781517,1514781505,4,1,26.953446,58,23.366626,21.604901,12,20,55.5099573
157,4,4832845,4832844,1.90618E+15,1.90525E+15,8000029,8000029,2732185,5199646,1514781525,1514781517,4,4,23.880909,68,26.953446,23.366626,8,20,58.10124361
158,1,4832846,4832845,1.90339E+15,1.90618E+15,8000029,8000029,7923420,2732185,1514781563,1514781525,4,4,23.486404,91,23.880909,26.953446,38,46,47.217514
159,4,4832847,4832846,1.90432E+15,1.90339E+15,8000029,8000029,5330916,7923420,1514781570,1514781563,1,4,26.071081,55,23.486404,23.880909,7,45,43.7986982
160,3,4832848,4832847,1.90432E+15,1.90432E+15,8000029,8000029,4072142,5330916,1514781587,1514781570,4,1,23.3561,100,26.071081,23.486404,17,24,59.64131681
