,gasprice,height,difficulty,gaslimit,gasused,timestamp,gaspricel1,gaspricel2,avegasprice,avel1,avel2,timespan1,timespan2
37,21,4832725,1.90625E+15,7992185,2857241,1514779693,1,1,25.04761905,19.01310706,16.45465347,3,21
38,10,4832726,1.90718E+15,7984415,2659983,1514779694,21,1,26.86015172,25.04761905,19.01310706,1,4
39,10,4832727,1.90625E+15,7992185,7934727,1514779714,10,21,22.3396553,26.86015172,25.04761905,20,21
40,20,4832728,1.90625E+15,7999955,7813102,1514779729,10,10,26.57344763,22.3396553,26.86015172,15,35
41,20,4832729,1.90625E+15,7992148,2735605,1514779740,20,10,28.32201982,26.57344763,22.3396553,11,26
42,10,4832730,1.90625E+15,7999918,6530499,1514779751,20,20,18.32525794,28.32201982,26.57344763,11,22
43,1,4832731,1.90439E+15,8000029,7931151,1514779781,10,20,12.34367816,18.32525794,28.32201982,30,41
44,10,4832732,1.90253E+15,8000029,7987898,1514779815,1,10,24.30536457,12.34367816,18.32525794,34,64
45,10,4832733,1.9016E+15,7992222,7978189,1514779843,10,1,23.93193717,24.30536457,12.34367816,28,62
46,1,4832734,1.9016E+15,7984452,7979865,1514779862,10,10,21.80016811,23.93193717,24.30536457,19,47
47,20,4832735,1.89974E+15,7992248,7979294,1514779897,1,10,39.21757965,21.80016811,23.93193717,35,54
48,1,4832736,1.90067E+15,7984452,5128516,1514779903,20,1,13.46324707,39.21757965,21.80016811,6,41
49,10,4832737,1.9016E+15,7992222,5184315,1514779909,1,20,14.00326287,13.46324707,39.21757965,6,12
50,20,4832738,1.89788E+15,8000000,7988389,1514779956,10,1,27.59906914,14.00326287,13.46324707,47,53
51,10,4832739,1.89788E+15,8000029,7991188,1514779969,20,10,17.98509225,27.59906914,14.00326287,13,60
52,10,4832740,1.89788E+15,8000029,7999914,1514779982,10,20,19.68142208,17.98509225,27.59906914,13,26
53,10,4832741,1.89696E+15,8000029,7989714,1514780011,10,10,24.16076956,19.68142208,17.98509225,29,42
54,10,4832742,1.89696E+15,8000029,7999621,1514780022,10,10,22.43222952,24.16076956,19.68142208,11,40
55,10,4832743,1.89788E+15,8000029,7550824,1514780027,10,10,17.65824324,22.43222952,24.16076956,5,16
56,10,4832744,1.89881E+15,7992222,7966611,1514780030,10,10,11.79570652,17.65824324,22.43222952,3,8
57,1,4832745,1.90067E+15,7996088,7987453,1514780037,10,10,10.86413273,11.79570652,17.65824324,7,10
58,10,4832746,1.90159E+15,8000029,7990947,1514780040,1,10,10.6745102,10.86413273,11.79570652,3,10
59,10,4832747,1.90159E+15,7992222,7975755,1514780049,10,1,17.93242653,10.6745102,10.86413273,9,12
60,10,4832748,1.90252E+15,7999992,2512899,1514780056,10,10,20.23186825,17.93242653,10.6745102,7,16
61,10,4832749,1.90066E+15,8000029,7986722,1514780087,10,10,22.81344205,20.23186825,17.93242653,31,38
62,10,4832750,1.89974E+15,8000029,7902780,1514780105,10,10,21.01328904,22.81344205,20.23186825,18,49
63,1,4832751,1.90066E+15,8000029,7985459,1514780108,10,10,9.510506866,21.01328904,22.81344205,3,21
64,0.1,4832752,1.90159E+15,7992222,7981184,1514780121,1,10,15.09729878,9.510506866,21.01328904,13,16
65,0.1,4832753,1.90345E+15,7984452,7954825,1514780125,0.1,1,10.35111133,15.09729878,9.510506866,4,17
66,10,4832754,1.90066E+15,7992222,7981293,1514780165,0.1,0.1,22.96175127,10.35111133,15.09729878,40,44
67,20,4832755,1.89973E+15,7984452,2673687,1514780189,10,0.1,29.05109215,22.96175127,10.35111133,24,64
68,1,4832756,1.8988E+15,7992222,7970524,1514780215,20,10,16.67305544,29.05109215,22.96175127,26,50
69,10,4832757,1.89695E+15,7999992,7996085,1514780250,1,20,25.69810029,16.67305544,29.05109215,35,61
70,10,4832758,1.89788E+15,8000029,7980598,1514780255,10,1,19.21807251,25.69810029,16.67305544,5,40
71,1,4832759,1.89973E+15,8000029,7985243,1514780263,10,10,18.35412342,19.21807251,25.69810029,8,13
72,200,4832760,1.89787E+15,8003915,7996729,1514780294,1,10,43.22044506,18.35412342,19.21807251,31,39
73,10,4832761,1.8988E+15,7996107,7982529,1514780297,200,1,20.18499996,43.22044506,18.35412342,3,34
74,1,4832762,1.8988E+15,7988337,7974925,1514780315,10,200,20.95517653,20.18499996,43.22044506,18,21
75,20,4832763,1.89973E+15,7996137,4208876,1514780320,1,10,21.48148148,20.95517653,20.18499996,5,23
76,10,4832764,1.90066E+15,7988337,7972450,1514780323,20,1,11.16326531,21.48148148,20.95517653,3,8
77,1,4832765,1.90066E+15,7996137,7961219,1514780337,10,20,20.07648729,11.16326531,21.48148148,14,17
78,10,4832766,1.90066E+15,7988337,4225624,1514780349,1,10,24.21557727,20.07648729,11.16326531,12,26
79,10,4832767,1.89973E+15,7996107,6374518,1514780369,10,1,25.19837255,24.21557727,20.07648729,20,32
80,10,4832768,1.89695E+15,7988337,7986134,1514780407,10,10,25.28733799,25.19837255,24.21557727,38,58
81,10,4832769,1.89787E+15,7996107,7975819,1514780423,10,10,29.38641636,25.28733799,25.19837255,16,54
82,1,4832770,1.89787E+15,7988337,7969344,1514780444,10,10,24.07512439,29.38641636,25.28733799,21,37
83,10,4832771,1.89602E+15,7996107,7960254,1514780475,1,10,23.54962727,24.07512439,29.38641636,31,52
84,10,4832772,1.89694E+15,8000029,4239829,1514780481,10,1,34.92023367,23.54962727,24.07512439,6,37
85,21,4832773,1.8988E+15,8000029,252189,1514780482,10,10,36,34.92023367,23.54962727,1,7
86,1,4832774,1.89972E+15,8000000,7990930,1514780484,21,10,11.05722521,36,34.92023367,2,3
87,10,4832775,1.90065E+15,7992222,4497452,1514780491,1,21,14.55991525,11.05722521,36,7,9
88,20,4832776,1.90158E+15,7999992,1329419,1514780496,10,1,35.61578947,14.55991525,11.05722521,5,12
89,0.1,4832777,1.90251E+15,7994128,7981513,1514780502,20,10,18.94492958,35.61578947,14.55991525,6,11
90,1,4832778,1.90251E+15,8000029,7256162,1514780518,0.1,20,15.15873492,18.94492958,35.61578947,16,22
91,1,4832779,1.90251E+15,8000029,7290233,1514780544,1,0.1,23.41937395,15.15873492,18.94492958,26,42
92,10,4832780,1.90344E+15,8000029,2319060,1514780553,1,1,19.83628024,23.41937395,15.15873492,9,35
93,1,4832781,1.90437E+15,7992222,7988690,1514780559,10,1,15.35571895,19.83628024,23.41937395,6,15
94,0.1,4832782,1.9053E+15,7984452,7972810,1514780563,1,10,15.98951861,15.35571895,19.83628024,4,10
95,1,4832783,1.9053E+15,7988334,7967092,1514780575,0.1,1,25.07221105,15.98951861,15.35571895,12,16
96,10,4832784,1.90437E+15,7996134,7978967,1514780597,1,0.1,24.02198415,25.07221105,15.98951861,22,34
97,10,4832785,1.9053E+15,8000029,6244276,1514780607,10,1,20.42360021,24.02198415,25.07221105,10,32
98,1,4832786,1.90344E+15,7992222,7982758,1514780647,10,10,22.22540584,20.42360021,24.02198415,40,50
99,10,4832787,1.90344E+15,7999992,7056964,1514780657,1,10,29.08235236,22.22540584,20.42360021,10,50
100,1,4832788,1.90344E+15,8002518,7989376,1514780672,10,1,23.20603448,29.08235236,22.22540584,15,25
101,1,4832789,1.90344E+15,8006408,7989186,1514780685,1,10,21.39083282,23.20603448,29.08235236,13,28
102,10,4832790,1.90436E+15,8000029,7555851,1514780699,1,1,35.71519886,21.39083282,23.20603448,14,27
103,21,4832791,1.90436E+15,8003286,7999237,1514780716,10,1,36.54429334,35.71519886,21.39083282,17,31
104,1,4832792,1.90529E+15,8007189,8003957,1514780722,21,10,16.44758153,36.54429334,35.71519886,6,23
105,10,4832793,1.90529E+15,8000029,2444630,1514780734,1,21,26.66668149,16.44758153,36.54429334,12,18
106,10,4832794,1.90529E+15,7992222,5579761,1514780749,10,1,28.04504505,26.66668149,16.44758153,15,27
107,1,4832795,1.90529E+15,8000000,7986405,1514780773,10,10,25.96419184,28.04504505,26.66668149,24,39
108,10,4832796,1.90343E+15,8000029,7913184,1514780802,1,10,25.04430972,25.96419184,28.04504505,29,53
109,1,4832797,1.90343E+15,8000029,7998547,1514780813,10,1,19.26731944,25.04430972,25.96419184,11,40
110,10,4832798,1.89972E+15,8000029,7992681,1514780864,1,10,25.83214013,19.26731944,25.04430972,51,62
111,21,4832799,1.89786E+15,8003926,7992419,1514780894,10,1,29.64969021,25.83214013,19.26731944,30,81
112,10,4832800,1.89879E+15,8007818,7987094,1514780901,21,10,22.07575758,29.64969021,25.83214013,7,37
113,10,4832801,1.89879E+15,8000029,7979065,1514780913,10,21,17.42153523,22.07575758,29.64969021,12,19
114,10,4832802,1.89786E+15,8000029,7962859,1514780937,10,10,27.95644673,17.42153523,22.07575758,24,36
115,12,4832803,1.89879E+15,7992222,2710660,1514780950,10,10,30.24868461,27.95644673,17.42153523,13,37
116,20,4832804,1.89971E+15,8000000,1255618,1514780960,12,10,30.60909091,30.24868461,27.95644673,10,23
117,10,4832805,1.90064E+15,7992222,3092821,1514780961,20,12,6.037037037,30.60909091,30.24868461,1,11
118,10,4832806,1.90064E+15,8000000,7981180,1514780976,10,20,18.88833196,6.037037037,30.60909091,15,16
119,10,4832807,1.89879E+15,7992222,7950697,1514781008,10,10,27.13461571,18.88833196,6.037037037,32,47
120,1,4832808,1.90064E+15,7999992,5362675,1514781010,10,10,7.314685315,27.13461571,18.88833196,2,34
121,20,4832809,1.9025E+15,8000029,503421,1514781012,1,10,35.25,7.314685315,27.13461571,2,4
122,1,4832810,1.9025E+15,8000000,7990446,1514781022,20,1,20.88315885,35.25,7.314685315,10,12
123,10,4832811,1.90343E+15,8000029,2679945,1514781025,1,20,16.88963296,20.88315885,35.25,3,13
124,21,4832812,1.90435E+15,8000029,142222,1514781027,10,1,27.5,16.88963296,20.88315885,2,5
125,10,4832813,1.90435E+15,8000029,6278027,1514781042,21,10,24.20040517,27.5,16.88963296,15,17
126,10,4832814,1.90528E+15,8000029,2040652,1514781050,10,21,24.73588213,24.20040517,27.5,8,23
127,1,4832815,1.90528E+15,7995207,7986243,1514781060,10,10,20.10624238,24.73588213,24.20040517,10,18
128,10,4832816,1.90621E+15,8000029,3597228,1514781064,1,10,22.93461315,20.10624238,24.73588213,4,14
129,10,4832817,1.90808E+15,8000029,512293,1514781066,10,1,30.07368421,22.93461315,20.10624238,2,6
130,1,4832818,1.90621E+15,8000000,7997939,1514781093,10,10,26.35962302,30.07368421,22.93461315,27,29
131,10,4832819,1.90528E+15,8000029,7961789,1514781114,1,10,31.41603781,26.35962302,30.07368421,21,48
132,1,4832820,1.90621E+15,7992222,7973850,1514781120,10,1,20.49935445,31.41603781,26.35962302,6,27
133,10,4832821,1.90714E+15,7999992,1565113,1514781122,1,10,34.70082885,20.49935445,31.41603781,2,8
134,10,4832822,1.90807E+15,8000029,2337553,1514781128,10,1,37.28466877,34.70082885,20.49935445,6,8
135,1,4832823,1.90901E+15,8000029,3395897,1514781136,10,10,18.04070597,37.28466877,34.70082885,8,14
136,16,4832824,1.90807E+15,7992222,7985847,1514781161,1,10,26.18683879,18.04070597,37.28466877,25,33
137,1,4832825,1.90901E+15,8000000,7997713,1514781164,16,1,19.01224592,26.18683879,18.04070597,3,28
138,10,4832826,1.90807E+15,8000029,7985912,1514781189,1,16,24.08084801,19.01224592,26.18683879,25,28
139,10,4832827,1.90901E+15,8000029,6530964,1514781195,10,1,22.16132545,24.08084801,19.01224592,6,31
140,1,4832828,1.90901E+15,8000029,7989210,1514781212,10,10,21.43329816,22.16132545,24.08084801,17,23
141,1,4832829,1.89968E+15,8000029,7981022,1514781315,1,10,22.83827674,21.43329816,22.16132545,103,120
142,20,4832830,1.90061E+15,7992222,7991972,1514781324,1,1,22.60477952,22.83827674,21.43329816,9,112
143,10,4832831,1.90154E+15,7984452,7976053,1514781329,20,1,14.87280978,22.60477952,22.83827674,5,14
144,1,4832832,1.9034E+15,7992222,7899579,1514781337,10,20,17.71160207,14.87280978,22.60477952,8,13
145,1000,4832833,1.90433E+15,7999992,5739096,1514781343,1,10,49.33238882,17.71160207,14.87280978,6,14
146,1,4832834,1.90526E+15,8000029,3619077,1514781354,1000,1,66.09236688,49.33238882,17.71160207,11,17
147,1,4832835,1.90619E+15,8000000,7985074,1514781360,1,1000,11.50382353,66.09236688,49.33238882,6,17
148,1,4832836,1.90619E+15,8000029,7724011,1514781383,1,1,22.315,11.50382353,66.09236688,23,29
149,1,4832837,1.90712E+15,8003532,7985109,1514781387,1,1,14.71145173,22.315,11.50382353,4,27
150,10,4832838,1.90619E+15,8000029,5983056,1514781409,1,1,25.47506002,14.71145173,22.315,22,26
151,10,4832839,1.90432E+15,8000029,7562157,1514781441,10,1,23.67926216,25.47506002,14.71145173,32,54
152,1,4832840,1.90525E+15,8000029,5163571,1514781451,10,10,13.09123894,23.67926216,25.47506002,10,42
153,1,4832841,1.90432E+15,8000029,6191576,1514781471,1,10,24.57373041,13.09123894,23.67926216,20,30
154,1,4832842,1.90339E+15,8000029,7995734,1514781497,1,1,21.60491638,24.57373041,13.09123894,26,46
155,20,4832843,1.90432E+15,8000029,7909212,1514781505,1,1,23.36664187,21.60491638,24.57373041,8,34
156,10,4832844,1.90525E+15,8000029,5199646,1514781517,20,1,26.95344633,23.36664187,21.60491638,12,20
157,20,4832845,1.90618E+15,8000029,2732185,1514781525,10,20,23.88090909,26.95344633,23.36664187,8,20
158,1,4832846,1.90339E+15,8000029,7923420,1514781563,20,10,23.48641168,23.88090909,26.95344633,38,46
159,10,4832847,1.90432E+15,8000029,5330916,1514781570,1,20,26.07104189,23.48641168,23.88090909,7,45
160,10,4832848,1.90432E+15,8000029,4072142,1514781587,10,1,23.35612887,26.07104189,23.48641168,17,24
161,10,4832849,1.90525E+15,8000029,1830631,1514781594,10,10,21.16362007,23.35612887,26.07104189,7,24
162,20,4832850,1.90525E+15,8000029,5194004,1514781607,10,10,20.62776596,21.16362007,23.35612887,13,20
163,1,4832851,1.90711E+15,7992222,7976444,1514781612,20,10,13.53723577,20.62776596,21.16362007,5,18
164,1,4832852,1.90711E+15,8000000,7989572,1514781624,1,20,22.09481237,13.53723577,20.62776596,12,17
165,1,4832853,1.90711E+15,8003892,7992837,1514781640,1,1,26.07169662,22.09481237,13.53723577,16,28
166,1,4832854,1.90711E+15,8007785,8001455,1514781655,1,1,22.83965107,26.07169662,22.09481237,15,31
167,1,4832855,1.90711E+15,8000029,6517805,1514781669,1,1,21.52045179,22.83965107,26.07169662,14,29
168,1,4832856,1.90618E+15,8001765,7995155,1514781690,1,1,26.09345376,21.52045179,22.83965107,21,35
169,1,4832857,1.90618E+15,7993961,7854876,1514781704,1,1,20.52330457,26.09345376,21.52045179,14,35
170,1,4832858,1.8978E+15,8000029,7994023,1514781797,1,1,24.32689189,20.52330457,26.09345376,93,107
171,120,4832859,1.89873E+15,8003927,7991601,1514781801,1,1,34.83871186,24.32689189,20.52330457,4,97
172,1,4832860,1.89966E+15,8000029,7998459,1514781809,120,1,16.68745906,34.83871186,24.32689189,8,12
173,1,4832861,1.89966E+15,8000029,7990003,1514781824,1,120,21.50655395,16.68745906,34.83871186,15,23
174,1,4832862,1.90058E+15,8000029,7999591,1514781834,1,1,19.70093932,21.50655395,16.68745906,10,25
175,10,4832863,1.89966E+15,8003936,8001286,1514781859,1,1,28.65533626,19.70093932,21.50655395,25,35
176,10,4832864,1.89873E+15,8007841,7990179,1514781879,10,1,24.03996121,28.65533626,19.70093932,20,45
177,20,4832865,1.89966E+15,8000029,201616,1514781881,10,10,40.4,24.03996121,28.65533626,2,22
178,10.34375,4832866,1.89966E+15,7992222,7981609,1514781896,20,10,19.62865495,40.4,24.03996121,15,17
179,1,4832867,1.90058E+15,7999992,2259511,1514781899,10.34375,20,6.2540625,19.62865495,40.4,3,18
180,1,4832868,1.90151E+15,7992185,7984807,1514781901,1,10.34375,8.356407586,6.2540625,19.62865495,2,5
181,10,4832869,1.90058E+15,7999955,7286041,1514781924,1,1,23.34465689,8.356407586,6.2540625,23,25
182,0.001,4832870,1.89873E+15,7992148,7971720,1514781965,10,1,186991894.8,23.34465689,8.356407586,41,64
183,10,4832871,1.89965E+15,7984378,7976080,1514781972,0.001,10,19.09985923,186991894.8,23.34465689,7,48
184,10,4832872,1.90151E+15,7992148,5153956,1514781976,10,0.001,28.17602385,19.09985923,186991894.8,4,11
185,10,4832873,1.90151E+15,7999918,3520867,1514781985,10,10,29.53246887,28.17602385,19.09985923,9,13
186,1,4832874,1.89965E+15,8000000,7979568,1514782014,10,10,25.22485084,29.53246887,28.17602385,29,38
187,1,4832875,1.90058E+15,8000029,3171882,1514782021,1,10,11.34411765,25.22485084,29.53246887,7,36
188,10,4832876,1.90058E+15,7992222,5630926,1514782034,1,1,27.34844828,11.34411765,25.22485084,13,20
189,1,4832877,1.90151E+15,7999992,5054993,1514782041,10,1,23.04979589,27.34844828,11.34411765,7,20
190,20,4832878,1.90336E+15,8000029,915951,1514782045,1,10,28.60714286,23.04979589,27.34844828,4,11
191,10,4832879,1.90244E+15,7992222,7990430,1514782068,20,1,24.59818433,28.60714286,23.04979589,23,27
192,1,4832880,1.90151E+15,7999992,7997923,1514782086,10,20,21.64304311,24.59818433,28.60714286,18,41
193,10,4832881,1.89965E+15,8000029,7986922,1514782121,1,10,24.05817518,21.64304311,24.59818433,35,53
194,21,4832882,1.89501E+15,7992222,7988966,1514782189,10,1,27.25377147,24.05817518,21.64304311,68,103
195,20,4832883,1.89409E+15,7984452,7981420,1514782207,21,10,23.72617376,27.25377147,24.05817518,18,86
196,10,4832884,1.89316E+15,7976682,7960577,1514782225,20,21,22.64542672,23.72617376,27.25377147,18,36
197,120,4832885,1.89409E+15,7984470,7931304,1514782231,10,20,46.65549738,22.64542672,23.72617376,6,24
198,1,4832886,1.89501E+15,7992259,7984299,1514782239,120,10,12.17148072,46.65549738,22.64542672,8,14
199,1,4832887,1.89409E+15,8000029,7992161,1514782270,1,120,35.21910083,12.17148072,46.65549738,31,39
200,1,4832888,1.89409E+15,7992222,7977927,1514782279,1,1,17.215334,35.21910083,12.17148072,9,40
201,1,4832889,1.89409E+15,7999992,6426110,1514782291,1,1,35.00554885,17.215334,35.21910083,12,21
202,10,4832890,1.89501E+15,8000029,1213491,1514782294,1,1,30.77538577,35.00554885,17.215334,3,15
203,1,4832891,1.89594E+15,8000029,5960827,1514782301,10,1,7.895814552,30.77538577,35.00554885,7,10
204,1,4832892,1.89686E+15,8000029,6572696,1514782315,1,10,17.82041433,7.895814552,30.77538577,14,21
205,0.1,4832893,1.89686E+15,8000029,7986545,1514782324,1,1,13.54725845,17.82041433,7.895814552,9,23
206,1,4832894,1.89593E+15,7992222,6906122,1514782342,0.1,1,23.17728282,13.54725845,17.82041433,18,27
207,10,4832895,1.89593E+15,7999992,7940732,1514782357,1,0.1,26.97359129,23.17728282,13.54725845,15,33
208,10,4832896,1.89686E+15,8000029,3892948,1514782365,10,1,26.63650416,26.97359129,23.17728282,8,23
209,1,4832897,1.89779E+15,8000000,7989587,1514782369,10,10,14.75964503,26.63650416,26.97359129,4,12
210,10,4832898,1.89871E+15,7992222,1659030,1514782372,1,10,25.48979592,14.75964503,26.63650416,3,7
211,1,4832899,1.89964E+15,7999992,7838960,1514782380,10,1,17.92853138,25.48979592,14.75964503,8,11
212,10,4832900,1.89964E+15,8000029,7956894,1514782391,1,10,23.42860734,17.92853138,25.48979592,11,19
213,10,4832901,1.89964E+15,8000029,7982883,1514782413,10,1,23.45376238,23.42860734,17.92853138,22,33
214,21,4832902,1.90057E+15,8000029,2540896,1514782416,10,10,25.11486486,23.45376238,23.42860734,3,25
215,21,4832903,1.9015E+15,8000029,1280373,1514782417,21,10,42.75,25.11486486,23.45376238,1,4
216,1,4832904,1.90242E+15,8000029,1479294,1514782419,21,21,19.95366098,42.75,25.11486486,2,3
217,1,4832905,1.9015E+15,8000029,7987625,1514782440,1,21,19.02884475,19.95366098,42.75,21,23
218,1,4832906,1.90242E+15,8000029,5643095,1514782442,1,1,21.11926697,19.02884475,19.95366098,2,23
219,1,4832907,1.90335E+15,8000484,7983063,1514782447,1,1,17.69665574,21.11926697,19.02884475,5,7
220,1,4832908,1.90428E+15,8004366,7997647,1514782455,1,1,20.99138614,17.69665574,21.11926697,8,13
221,10,4832909,1.90428E+15,8000029,4149576,1514782471,1,1,27.90045492,20.99138614,17.69665574,16,24
222,1,4832910,1.90521E+15,8000029,1612999,1514782475,10,1,16.70833542,27.90045492,20.99138614,4,20
223,21,4832911,1.90149E+15,7994580,7974203,1514782526,1,10,33.72307692,16.70833542,27.90045492,51,55
224,120,4832912,1.90149E+15,7998454,7987815,1514782542,21,1,27.31122449,33.72307692,16.70833542,16,67
225,10,4832913,1.90242E+15,8000029,7993520,1514782549,120,21,16.90548101,27.31122449,33.72307692,7,23
226,1,4832914,1.90335E+15,8003927,7984066,1514782551,10,120,14.16036126,16.90548101,27.31122449,2,9
227,10,4832915,1.90242E+15,8000029,5240653,1514782570,1,10,27.05627988,14.16036126,16.90548101,19,21
228,1,4832916,1.90242E+15,7992222,7989874,1514782582,10,1,21.27174101,27.05627988,14.16036126,12,31
229,10,4832917,1.90149E+15,7984452,7900845,1514782605,1,10,26.54555851,21.27174101,27.05627988,23,35
230,1,4832918,1.90242E+15,7992248,7988243,1514782608,10,1,7.455321277,26.54555851,21.27174101,3,26
231,1,4832919,1.90242E+15,8000000,7991268,1514782626,1,10,22.13435115,7.455321277,26.54555851,18,21
232,1,4832920,1.90335E+15,8000029,5455835,1514782632,1,1,17.00119048,22.13435115,7.455321277,6,24
233,10,4832921,1.90521E+15,7992222,1016575,1514782634,1,1,18.385,17.00119048,22.13435115,2,8
234,1,4832922,1.90614E+15,7984452,7967487,1514782640,10,1,13.85220269,18.385,17.00119048,6,8
235,12,4832923,1.90614E+15,7976682,2454843,1514782649,1,10,27.82361746,13.85220269,18.385,9,15
236,10,4832924,1.90707E+15,7968912,4871289,1514782654,12,1,20.3824179,27.82361746,13.85220269,5,14
237,120,4832925,1.90707E+15,7976682,3382803,1514782667,10,12,25.90212674,20.3824179,27.82361746,13,18
238,1,4832926,1.90893E+15,7984470,7967440,1514782670,120,10,18.60227386,25.90212674,20.3824179,3,16
239,40,4832927,1.90986E+15,7992259,1461285,1514782676,1,120,54.02272723,18.60227386,25.90212674,6,9
240,1,4832928,1.908E+15,7984489,7972948,1514782703,40,1,20.45831655,54.02272723,18.60227386,27,33
241,21,4832929,1.90893E+15,7976719,483899,1514782710,1,40,43.26667,20.45831655,54.02272723,7,34
242,1,4832930,1.90986E+15,7984489,7975685,1514782722,21,1,23.52090032,43.26667,20.45831655,12,19
243,1,4832931,1.91079E+15,7976719,7959290,1514782729,1,21,25.68816357,23.52090032,43.26667,7,19
244,1,4832932,1.91079E+15,7984507,7984169,1514782745,1,1,28.3704918,25.68816357,23.52090032,16,23
245,10,4832933,1.91173E+15,7976719,4756066,1514782753,1,1,26.9500039,28.3704918,25.68816357,8,24
246,10,4832934,1.91266E+15,7968949,1110134,1514782757,10,1,29.51612903,26.9500039,28.3704918,4,12
247,1,4832935,1.91453E+15,7976730,7972239,1514782761,10,10,17.77377213,29.51612903,26.9500039,4,8
248,1,4832936,1.91266E+15,7984489,7953087,1514782791,1,10,12.9026936,17.77377213,29.51612903,30,34
249,1,4832937,1.91359E+15,7976719,7967914,1514782798,1,1,17.00653795,12.9026936,17.77377213,7,37
250,1,4832938,1.91359E+15,7984507,7983512,1514739608,1,1,23.74031008,17.00653795,12.9026936,-43190,-43183
251,0.1,4832939,1.91453E+15,7992296,7989993,1514739615,1,1,13.07456768,23.74031008,17.00653795,7,-43183
